ELD File Header Segment:
Chen,Sandra,ppagare1+sandra,NM,C9934712,19
,,,,2C
SWE-104,SWE10400000000000,,1D
3921847,Southwest Express Freight LLC,8,000000,07,37
BOL-2026-4823,0,56
04/19/2026,000000,07,0D
FLEETIQ-ELD-001,SWEF,1.0,3921847,0C
ELD User List:
Chen,Sandra,ppagare1+sandra,D,NM,C9934712,71
CMV List:
SWE-104,SWE10400000000000,31
ELD Event List for Driver's Record of Duty Status:
20260419050000,6,1,35.0844,-106.6504,150000.0,ENGINE_ON,51
20260419051500,1,4,35.0844,-106.6504,150000.0,PRE_TRIP_INSPECTION,41
20260419054500,1,3,35.0844,-106.6504,150000.0,LOAD_PICKUP_COMPLETE,1E
20260419094500,1,4,36.7136,-106.0694,150220.0,FUEL_STOP_LORDSBURG_NM,10
20260419100000,1,3,36.7136,-106.0694,150220.0,FUEL_COMPLETE_RESUME,0E
20260419134500,1,1,37.8773,-105.6543,150410.0,30_MIN_BREAK_REQUIRED,44
20260419141500,1,3,37.8773,-105.6543,150410.0,BREAK_COMPLETE_RESUME,4B
20260419190000,1,4,39.7392,-104.9903,150653.0,ARRIVAL_DELIVERY_DOCK,4F
20260419203000,1,2,39.7392,-104.9903,150653.0,SLEEPER_BERTH_POST_DELIVERY,46
20260419190500,6,2,39.7392,-104.9903,150653.0,ENGINE_OFF,19
ELD Event List for Driver's Certification of Own Records:
20260419190000,04/19/2026,ppagare1+sandra,69
ELD File Data Check Value: 6E
